product,marketing_name,brand,cpu,cpu_make,device,memory_mb
Jupiter_HK,Panasonic,Panasonic,t32,Mediatek,Jupiter,2048
zizhan,Xiaomi MIX Fold 2,Xiaomi,SM8475,QTI,zizhan,12288
Punos_10,Punos_10,Punos,A50,Allwinner,Punos_10,2048
P618A03,ZTE A2121L,ZTE,T618,Spreadtrum,P618A03,6144
iPlay50_Lite,iPlay50_Lite,Alldocube,A523,Allwinner,U1030,4096
G3-US,G3-US,GOODTEL,RK3562,Rockchip,G3-US,4096
XM75,XM75,Janam,MSM8916,Qualcomm,XM75,3072
P40HD_ROW_T,P40HD_ROW,Teclast,T606,Spreadtrum,P40HD_T,4096
PET-1008-H332E,PET-1008-H332E,PEAQ,T610,Spreadtrum,PET-1008-H332E,3072
nash_usc,Moto Z (2) Force,motorola,MSM8998,Qualcomm,nash,4096
DVB97,Smart TV,CHiQ,RTD2841A,Realtek,cartier,1536
TP902A,Neffos X1,Neffos,MT6763,Mediatek,X1,4096
x1qzcx,Galaxy S20 5G,samsung,SM8250,Qualcomm,x1q,12288
MAR-LX3A,HUAWEI P30 lite,HUAWEI,KIRIN710,HiSilicon,HWMAR,6144
LRNS10WIL0,LRNS10WIL0,BYJUS,MT8788B,Mediatek,LRNS10WIL0,3072
X689C-TR,Infinix HOT 10T,Infinix,MT6769,Mediatek,Infinix-X689C,4096
INTEX_AQUA_LIONS_3,Aqua Lions 3,INTEX,MT6737,Mediatek,INTEX_AQUA_LIONS_3,2048
S3_Pro,S3_Pro,UMIDIGI,MT6771T,Mediatek,S3_Pro,6144
AcerOne10T10-422L,Acer One 10 T10-422L,Acer,MT8768WA,Mediatek,AcerOne10T10-422L,4096
a04ub,Galaxy A04,samsung,MT6765,Mediatek,a04,3072
1802_RU,vivo 1802,vivo,MT6762,Mediatek,1802,4096
T774B,TCL 20L,TCL,SM6115,Qualcomm,Richland,8192
RMX3301,真我GT 2 Pro	,realme,SM8450,QTI,RED8ACL1,8192
GS370_Plus,Gigaset GS370_Plus,Gigaset,MT6750T,Mediatek,GS370_Plus,4096
PN_HM1_series,PN-HM751,sharp,RK3399,Rockchip,PN_HM1_series,4096
a02qnnser,Galaxy A02s ,samsung,SDM450,Qualcomm,a02q,2048
brepdugl_00411,Desire 12+,htc,SDM450,Qualcomm,htc_brepdugl,3072
KSTB2020,KSTB2020,KaonMedia,BCM7268,Broadcom,KSTB2020,2048
e6,e6_plus,Gini,MT6735,Mediatek,e6,3072
EX10,EX10,G-TiDE_EXTREME,MT6739CH,Mediatek,EX10,2048
LenovoB8080-H,B8080-H,Lenovo,MSM8228,Qualcomm,B8080,2048
dreamlteldu,Galaxy S8,samsung,Exynos 8895,Samsung,dreamlte,4096
J8270,Xperia 5,Sony,SM8150,Qualcomm,J8270,6144
itel-it1520,it1520,Itel,MT6735,Mediatek,itel-it1520,2048
RCT6873W42BMF8QE,RCT6873W42BMF8QE,RCA,MT8167B,Mediatek,RCT6873W42BMF8QE,2048
kellyltezc,SM-W2018,samsung,MSM8998,Qualcomm,kellyltechn,6144
o2_sml5442tw,SML-5442TW,SmartLabs,AMLS905D,Amlogic,sml5442tw,2048
Optima_1200B,Optima_1200B,DIGMA,RK3326,Rockchip,TS1266RW,2048
SR05M,ロボホン,SHARP,MSM8937,Qualcomm,SR05M,2048
