manufacturer,brand,product,device,marketing_name,cpu_model,cpu_make,ram_mb
HUAWEI,HUAWEI,JDN2-W09,HWJDN2,华为平板M5青春版,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JDN2-W09NM,HWJDN2,HUAWEI MediaPad M5 lite,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JDN2-W09NMEEA,HWJDN2,HUAWEI MediaPad M5 lite,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JDN2-L09,HWJDN2,HUAWEI MediaPad M5 lite,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JDN2-L09RU,HWJDN2,HUAWEI MediaPad M5 lite,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JDN2-L09EEA,HWJDN2,HUAWEI MediaPad M5 lite,KIRIN710,HiSilicon,4096
HUAWEI,HUAWEI,JDN2-AL00,HWJDN2,华为平板M5青春版,KIRIN710,HiSilicon,4096
HUAWEI,HONOR,JDN2-AL00HN,HWJDN2,荣耀平板5,KIRIN710,HiSilicon,4096
realme,realme,RMX2040RU,RMX2040,realme 6i,MT6769T,Mediatek,3072
Kuori,Kuori,Diligens,Kivi,KH3566,RK3566,Rockchip,4096
SHARP,SHARP,lcd_xxhad5a,lcd_xxhad5a,4T-C60CFZA  4T-C70CFZA 4T-C60CFMA 4T-C70CFMA 4T-C60CFKA 4T-C70CFKA 4T-C60CFXA 4T-C70CFXA 4T-C60CFCA 4T-C70CFCA,Hi3751V560,HiSilicon,1536
Toshiba,Toshiba,Toshiba_TV,NOVA72691,Toshiba_TV,NT72685PG,Novatek,2048
Hisense,Hisense,VIDAA_TV,NOVA72691,VIDAA_TV,NT72685PG,Novatek,2048
Sharp,Sharp,PN_L2B_series,PN_L2B_series,PN-L752B,t30,Mediatek,4096
Sony,Sony,BRAVIA_VH1_NC,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_CN,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_BB,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_NC,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_CN,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_UCB,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_JPB,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_JPB,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
